ID,Date,Supermarket,Kind,Goods,ProductType,Brand,Weight,Price,UnitPrice
42,2023-01-01,Dunnes,Vegetables,Tomatoes,"Cherry Vine Tomatoes",Dunnes,300G,2.29,7.63
43,2023-01-01,Dunnes,Vegetables,Tomatoes,"Sunstream Tomatoes",Dunnes,300G,2.29,7.63
44,2023-01-01,Dunnes,Vegetables,Tomatoes,"Midi Plum Tomatoes",Dole,325G,1.59,4.89
45,2023-01-01,Dunnes,Vegetables,Tomatoes,"Sweet Sunrise Cherry Tomatoes",Dunnes,250G,2.29,9.16
46,2023-01-01,Dunnes,Vegetables,Tomatoes,"Plum Tomatoes","My Family Favourites",250G,0.79,3.56
47,2023-01-01,Dunnes,Dairy,Cheese,"Cubed Greek Feta In Extra Virgin Oil",Dunnes,150G,2.19,14.60
48,2023-01-01,Dunnes,Dairy,Cheese,"Greek Style Salad  Chesee",Simply,200G,0.79,3.96
49,2023-01-01,Dunnes,Cleaning,"Toilet Paper","Quilted Dreams Toilet Tissue",Kittensoft,9Roll,7.00,0.77
50,2023-01-01,Dunnes,Cleaning,"Toilet Paper","Toilet Tissue",Kittensoft,9Roll,6.20,0.72
51,2023-01-01,Dunnes,Cleaning,"Toilet Paper","White Toilet Rolls",Cushelle,4Roll,3.00,0.81
52,2023-01-01,Dunnes,Cleaning,"Toilet Paper","Classic Clean",Andex,4Roll,3.30,0.90
53,2023-01-01,Dunnes,Cleaning,"Toilet Paper","Toilet Rolls",Cushelle,12Roll,8.30,0.70
54,2023-01-01,Dunnes,Pet,Litter,"Cat Litter",Thomas,8L,5.00,0.62
55,2023-01-01,Dunnes,Drinks,Alcohol,"Irish Whiskey Cask Stout","Jameson Irish Whiskey Cask Stout",70cl,29.00,29.00
56,2023-01-01,Dunnes,Drinks,Alcohol,"Irish Whiskey Cold Brew","Jameson Irish Whiskey Cold Brew",70cl,22.00,22.09
57,2023-01-01,Dunnes,Drinks,Alcohol,"Tennessee Whiskey","Jack Daniels Tennessee Whiskey",70cl,25.00,25.00
58,2023-01-01,Dunnes,Drinks,Alcohol,"Irish Whiskey","The Dubliner Irish Whiskey",70cl,18.00,18.00
